Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
101000,-0.10845487,-0.028156534,1.4110345,None,None,None,None,1.0
102000,-0.108406715,-0.03086468,1.4112022,None,None,None,None,1.0
103000,-0.09752207,-0.018234085,1.4112023,None,None,None,None,1.0
104000,-0.088794954,-0.01765333,1.4112024,None,None,None,None,1.0
105000,-0.08337613,-0.0036704896,1.4112023,None,None,None,None,1.0
106000,-0.076650746,-0.002483579,1.4112024,None,None,None,None,1.0
107000,-0.07842635,0.006410793,1.4112023,None,None,None,None,1.0
108000,-0.07699595,0.0048092473,1.4112022,None,None,None,None,1.0
109000,-0.07729781,0.007998077,1.4112023,None,None,None,None,1.0
110000,-0.07361927,0.002775006,1.4112022,None,None,None,None,1.0
111000,-0.07332944,0.0071035065,1.4112023,None,None,None,None,1.0
112000,-0.06989353,-0.00060424587,1.4106957,None,None,None,None,1.0
113000,-0.08038987,0.008343013,1.4090106,None,None,None,None,1.0
114000,-0.07692908,0.00473422,1.4090105,None,None,None,None,1.0
115000,-0.07959784,0.010999908,1.4090108,599.0,-1.0000000894069672,-1.0000000894069672,0.081921745982507,1.0
116000,-0.10137387,-0.009606336,1.4090106,None,-1.0000000894069672,-1.0000000894069672,0.10059032995357281,1.0
117000,-0.118387654,-0.023001812,1.4090105,None,None,None,None,1.0
118000,-0.12090191,-0.02261239,1.4090105,None,None,None,None,1.0
119000,-0.12005985,-0.025283366,1.4090105,None,None,None,None,1.0
120000,-0.11360307,-0.02129301,1.4090105,None,None,None,None,1.0
121000,-0.10974576,-0.021791512,1.4090105,None,None,None,None,1.0
122000,-0.09970919,-0.008302804,1.4090105,None,None,None,None,1.0
123000,-0.09542087,-0.0046776244,1.408491,None,None,None,None,1.0
124000,-0.09881258,0.004352449,1.4080123,None,None,None,None,1.0
125000,-0.097623065,0.0053628925,1.4080123,None,None,None,None,1.0
126000,-0.097520694,0.005655228,1.4080123,None,None,None,None,1.0
127000,-0.096758515,0.005111237,1.4080123,None,None,None,None,1.0
128000,-0.095255405,0.0073687877,1.4080123,None,None,None,None,1.0
129000,-0.09326404,0.009586686,1.4080123,None,None,None,None,1.0
130000,-0.09205633,0.009889775,1.4080123,None,None,None,None,1.0
131000,-0.09137301,0.014909053,1.4080123,None,None,None,None,1.0
132000,-0.091646664,0.015735287,1.4080123,None,None,None,None,1.0
133000,-0.091484174,0.018989392,1.4080123,None,None,None,None,1.0
